member_id,name,age,club,gender,weight_class,entry_total,session_number,session_platform,meet
29,Maria Castillo,29,"Archon Weightlifting TXOK, Open",Male,378kg,145,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
31,Alissa Gensamer,76,"TEXAS BARBELL CLUB MIL, TXOK, Open",Male,76kg,141,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
23,Marygrace Metz,23,Unaffiliated,Male,258kg,140,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
28,Haley Kopach,28,"Stellar Strength Barbell TXOK, Open",Male,498kg,140,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
22,Vanessa Ho,22,Unaffiliated,Male,494kg,135,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
17,Daniel Marquez,17,"Bexar Barbell Open, TXOK, TXOK",Male,628kg,250,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
71,Desmond Myles,16,"MYLES AHEAD WEIGHTLIFTING Open,",Male,71kg,230,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
16,Jesse Castillo,16,"Bull Strength Barbell Open, TXOK, TXOK",Male,624kg,220,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
28,Hampton Morris,21,Ritual Weightlifting Open,Male,28kg,300,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
21,Nathan Gonzaga,21,Unaffiliated,Male,452kg,270,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
34,Ross Twanmoh,34,MURDER OF CROWS Open,Male,331kg,246,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
26,Enrique Carrillo,26,"Bobcat Barbell Open, TXOK",Male,235kg,220,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
23,Victor Martin,52,Bulldog Weightlifting Club Open,Male,52kg,210,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
30,Cody Castro,30,Unaffiliated,Male,291kg,200,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
63,Alysse Dennis,15,Pure Health Barbell TXOK,Male,63kg,76,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
